,all_eg,eg<=2,2<eg<=4,4<eg<=6,6<eg<=8,8<eg,eg<0.5,4<eg
num_total,1986.0,1071.0,747.0,121.0,39.0,8.0,233.0,168.0
num_minus,991.0,423.0,442.0,83.0,36.0,7.0,65.0,126.0
num_plus,995.0,648.0,305.0,38.0,3.0,1.0,168.0,42.0
mae,0.41285502735457835,0.3443812547508956,0.4200014666488221,0.701004718011693,0.9715325543295585,1.8306655503807157,0.3647282377136673,0.8175991958411508
num_total_non_outlier,1984.0,1071.0,747.0,121.0,39.0,6.0,233.0,166.0
num_minus_non_outlier,989.0,423.0,442.0,83.0,36.0,5.0,65.0,124.0
num_plus_non_outlier,995.0,648.0,305.0,38.0,3.0,1.0,168.0,42.0
mae_non_outlier,0.4079297118236221,0.3443812547508956,0.4200014666488221,0.701004718011693,0.9715325543295585,0.6746313891532351,0.3647282377136673,0.7636092098384761
