num_features_removed,selected_features,mean_mae_score
0,129,0.3942978241769973
1,128,0.3945806845178562
2,127,0.39398456098284873
4,125,0.39390541778872956
8,121,0.39859578861712636
16,113,0.4001643107709473
32,97,0.404134601723826
64,65,0.4218812051360973
