num_features_removed,selected_features,mean_mae_score
0,129,0.46832333165267104
1,128,0.4687901101677145
2,127,0.46877612782157085
4,125,0.46637217215838095
8,121,0.47066467180843163
16,113,0.4731123659353006
32,97,0.4813073990418747
64,65,0.5034430739478605
