num_features_removed,remaining_features,mean_mae_score
0,129,0.4683233316526717
1,128,0.4707463618354931
2,127,0.4727169807518651
4,125,0.4784185977655853
8,121,0.4845526381603902
16,113,0.5001545835329403
32,97,0.5409575378740159
64,65,0.6428719308683665
