num_features_removed,remaining_features,mean_mae_score
0,129,0.3942978241769969
1,128,0.39817158653027057
2,127,0.39943616637770296
4,125,0.40381715249743255
8,121,0.40893920623198854
16,113,0.4233357635339308
32,97,0.4402866429860313
64,65,0.4983470656550796
