num_features_removed,remaining_features,mean_rmse_score
0,129,0.6724407962105351
1,128,0.681502089948572
2,127,0.6720580320716805
4,125,0.6756121757900367
8,121,0.6756430506075279
16,113,0.6852750659465097
32,97,0.7101080948659657
64,65,0.737538116449981
