num_features_removed,selected_features,mean_rmse_score
0,129,0.6726671183332404
1,128,0.6747513921407167
2,127,0.6761168437696152
4,125,0.6744784043426787
8,121,0.6716484560435859
16,113,0.6778496268645267
32,97,0.6816490170979799
64,65,0.6899860948045914
