num_features_removed,remaining_features,mean_rmse_score
0,129,0.5782178984225912
1,128,0.5953362832317547
2,127,0.5926495933125349
4,125,0.5913761569393109
8,121,0.5984898207616014
16,113,0.6139109990199824
32,97,0.6180641417801531
64,65,0.6566590097047245
