num_features_removed,selected_features,mean_rmse_score
0,129,0.5788301616833222
1,128,0.5823111842471602
2,127,0.5841203718496852
4,125,0.5867388597652994
8,121,0.5733135252504142
16,113,0.5795173618748153
32,97,0.6026295367015386
64,65,0.5915362293029915
