num_features_removed,selected_features,mean_rmse_score
0,129,0.7009935980824342
1,128,0.7021484332705906
2,127,0.7013917432155937
4,125,0.6987650085513455
8,121,0.7035320153524748
16,113,0.7025890487955625
32,97,0.7080153691235037
64,65,0.7004422542344676
