num_features_removed,remaining_features,mean_rmse_score
0,129,0.5797288303413637
1,128,0.5870309926950525
2,127,0.590546374828579
4,125,0.5954587259835751
8,121,0.6036228116545768
16,113,0.6195699102424768
32,97,0.6329487763055066
64,65,0.6716241789992855
