num_features_removed,selected_features,mean_rmse_score
0,129,0.579728830341364
1,128,0.5798425241193776
2,127,0.5799522748389561
4,125,0.5800627095491768
8,121,0.5835385816617467
16,113,0.5832085243103446
32,97,0.5870575550747961
64,65,0.5878162007351819
