num_features_removed,selected_features,mean_mae_score
0,129,0.397441145822082
1,128,0.40074386692956854
2,127,0.4018040370393501
4,125,0.4023717935985636
8,121,0.3935056042245672
16,113,0.39528670868308796
32,97,0.41040207255866223
64,65,0.41407092633986176
