num_features_removed,remaining_features,mean_mae_score
0,129,0.4587057698867299
1,128,0.461102981713364
2,127,0.4564376768459327
4,125,0.4652713688092038
8,121,0.46448150441901115
16,113,0.4714709800458471
32,97,0.4771934740089467
64,65,0.49383980864794275
