num_features_removed,remaining_features,mean_mae_score
0,129,0.39641710430985333
1,128,0.40627079380486497
2,127,0.4071532658963849
4,125,0.4062371961114626
8,121,0.40614146759573755
16,113,0.4099303371690536
32,97,0.41762518191903925
64,65,0.4496424284951749
