num_features_removed,selected_features,mean_mae_score
0,129,0.4573306349473928
1,128,0.46400971339107394
2,127,0.4601538963548055
4,125,0.45701085740922753
8,121,0.45769934797207884
16,113,0.46329537639122875
32,97,0.465884076712306
64,65,0.4669683997988582
