num_features_removed,selected_features,mean_mae_score
0,129,0.4286494635178452
1,128,0.42642196888104394
2,127,0.42707391212236245
4,125,0.42688046764068543
8,121,0.4255031426539063
16,113,0.42942690515622245
32,97,0.43866788314257316
64,65,0.4284882112676229
