num_features_removed,remaining_features,mean_mae_score
0,129,0.49368460771867745
1,128,0.49799880212024233
2,127,0.4975929130380212
4,125,0.5009848491008122
8,121,0.5062293762452321
16,113,0.5084946435086228
32,97,0.521340005230862
64,65,0.5780214016639191
