num_features_removed,remaining_features,mean_mae_score
0,129,0.42762296596932564
1,128,0.4366460733089186
2,127,0.4272447119952787
4,125,0.4239430503823873
8,121,0.42903621896963734
16,113,0.4298169553204477
32,97,0.43230262915567896
64,65,0.45863238160156194
