num_features_removed,selected_features,mean_mae_score
0,129,0.4923083868926172
1,128,0.4934527582170453
2,127,0.4938918925173496
4,125,0.49459458616849955
8,121,0.494450225111464
16,113,0.49208654466615104
32,97,0.5078131718204958
64,65,0.5068397603849771
