,var_name,importance
33,avg_metallic_valence,0.4654536684591829
9,avg_Density_(g/mL),0.2021714393634793
35,avg_outer_shell_electrons,0.04486384709524158
8,avg_Critical_Temperature,0.042112008316806865
86,range_1st_ionization_potential_(kJ/mol),0.04195761235753197
107,range_Pauling_Electronegativity,0.03887015207981924
32,avg_l_quantum_number,0.032249745361144624
39,avg_valence_d,0.029238618480551093
111,range_families,0.02767157805213676
101,range_Nagle_electonegativity,0.02491280792181036
16,avg_Number_of_unfilled_d_valence_electrons,0.024649166789755202
11,avg_Melting_point_(K),0.023546717185280053
100,range_Molar_Heat_Capacity(J/mol_K),0.022908190728258046
24,avg_abs_valence,0.021999390322817967
119,range_metallic_valence,0.020158133338341176
25,avg_families,0.01980910425303482
94,range_Critical_Temperature,0.0197370531266919
98,range_Mendele_Number,0.019673478475139086
115,range_heat_of_fusion_(kJ/mol)_,0.0187393931545801
89,range_Atomic_Radus,0.018607869306418473
38,avg_thermal_conductivity_(W/(m_K))_,0.01821259840201339
5,avg_Boiling_Point_(K),0.018167945968960778
29,avg_heat_of_fusion_(kJ/mol)_,0.018145510414897602
13,avg_Molar_Denstiy_(mol/ml),0.01563728222242381
124,range_thermal_conductivity_(W/(m_K))_,0.015592876922027349
14,avg_Molar_Heat_Capacity(J/mol_K),0.015478873181963152
3,avg_Atomic_Radus,0.014798832583073972
96,range_Gordy_electonegativity,0.0147779862211393
95,range_Density_(g/mL),0.014557297098826454
23,avg_Zunger_radii_sum,0.014035655104141656
123,range_specific_heat_(J/g_K)_,0.013880580204690823
0,avg_1st_ionization_potential_(kJ/mol),0.013297989041359214
91,range_Boiling_Point_(K),0.01299756765828188
6,avg_Cohesive_energy,0.012455506301114805
37,avg_specific_heat_(J/g_K)_,0.012423819814674376
28,avg_heat_atomization(kJ/mol),0.012348418952368146
12,avg_Mendele_Number,0.012308284530416103
82,sum_valence_d,0.012142423360096046
10,avg_Gordy_electonegativity,0.011984140963243281
26,avg_gilmor_number_of_valence_electron,0.01174247137860789
30,avg_heat_of_vaporization_(kJ/mol)_,0.011556896265424008
112,range_gilmor_number_of_valence_electron,0.011425830219562427
41,avg_valence_p,0.011271711790628696
80,sum_specific_heat_(J/g_K)_,0.011197628384419447
109,range_Zunger_radii_sum,0.011098615683171515
36,avg_polarizability(A^3),0.010949477194941205
97,range_Melting_point_(K),0.01088682641775168
52,sum_Density_(g/mL),0.010796817795117439
18,avg_Number_of_unfilled_p_valence_electrons,0.010671879399705746
15,avg_Nagle_electonegativity,0.010652019083608749
34,avg_number_of_valence_electrons,0.010608132259156364
21,avg_Pauling_Electronegativity,0.010459523513293139
1,avg_Allred-Rockow_electronegativity,0.00981516169969133
4,avg_Atomic_Weight,0.009634877448728684
99,range_Molar_Denstiy_(mol/ml),0.009428519626504034
113,range_group,0.009263459361174078
110,range_abs_valence,0.008838061054866193
81,sum_thermal_conductivity_(W/(m_K))_,0.008442861628694245
72,sum_heat_of_fusion_(kJ/mol)_,0.008435289435870245
92,range_Cohesive_energy,0.008401453794260078
7,avg_Covalent_Radius,0.008276901014443259
114,range_heat_atomization(kJ/mol),0.008007518072851227
78,sum_outer_shell_electrons,0.007864201439141072
116,range_heat_of_vaporization_(kJ/mol)_,0.007697959693487538
27,avg_group,0.00764787951081729
79,sum_polarizability(A^3),0.0075467466761512505
93,range_Covalent_Radius,0.007432823732759325
90,range_Atomic_Weight,0.007391468748063787
2,avg_Atomic_Number,0.006967987932601674
84,sum_valence_p,0.006822968966439735
22,avg_Period,0.006780388692245076
87,range_Allred-Rockow_electronegativity,0.006749468382823504
122,range_polarizability(A^3),0.006513965004058739
31,avg_ionic_radius,0.005804217283940069
51,sum_Critical_Temperature,0.005703900246961996
118,range_l_quantum_number,0.005509377382688985
76,sum_metallic_valence,0.005473639347121789
20,avg_Orbital_Radius(pm),0.00530111798258501
73,sum_heat_of_vaporization_(kJ/mol)_,0.005062825377539493
56,sum_Molar_Denstiy_(mol/ml),0.004970659488120458
49,sum_Cohesive_energy,0.004930108085132115
71,sum_heat_atomization(kJ/mol),0.00477365404032957
88,range_Atomic_Number,0.0046576504311615086
59,sum_Number_of_unfilled_d_valence_electrons,0.0045992884443389614
67,sum_abs_valence,0.004569542387976961
106,range_Orbital_Radius(pm),0.004466818815961243
120,range_number_of_valence_electrons,0.004313633705474065
54,sum_Melting_point_(K),0.004187814329581008
63,sum_Orbital_Radius(pm),0.003990668468840305
47,sum_Atomic_Weight,0.003926410418954146
66,sum_Zunger_radii_sum,0.003906267187340459
48,sum_Boiling_Point_(K),0.0039033944811750765
57,sum_Molar_Heat_Capacity(J/mol_K),0.003870681092711248
55,sum_Mendele_Number,0.0037896672430979468
46,sum_Atomic_Radus,0.003598838586423006
42,avg_valence_s,0.003508277049731634
83,sum_valence_f,0.0033690090174515104
19,avg_Number_of_unfilled_s_valence_electrons,0.0033048767734585897
45,sum_Atomic_Number,0.003200382932062726
50,sum_Covalent_Radius,0.0030348016790055082
117,range_ionic_radius,0.0029777811105573594
43,sum_1st_ionization_potential_(kJ/mol),0.0027182774711087127
53,sum_Gordy_electonegativity,0.002646066994918428
74,sum_ionic_radius,0.0026242268245609186
58,sum_Nagle_electonegativity,0.002579853016355027
70,sum_group,0.0024033434101064593
62,sum_Number_of_unfilled_s_valence_electrons,0.00232679839848825
77,sum_number_of_valence_electrons,0.0022596559746098062
64,sum_Pauling_Electronegativity,0.002226877108398512
125,range_valence_d,0.002016235172026373
40,avg_valence_f,0.0019237089525166895
108,range_Period,0.0018670735285984286
