num_features_removed,selected_features,mean_rmse_score
0,129,0.5797288303413648
1,128,0.5796927751445009
2,127,0.5798088235395154
4,125,0.5806743598162192
8,121,0.5842967672942081
16,113,0.5871285517436937
32,97,0.5916550504009626
64,65,0.6052133135540775
