num_features_removed,remaining_features,mean_rmse_score
0,129,0.7009935980824348
1,128,0.706308346920797
2,127,0.7136894262442828
4,125,0.7159581923357072
8,121,0.7246860793036214
16,113,0.742865843629283
32,97,0.8050208098494119
64,65,0.9607596642404855
