num_features_removed,remaining_features,mean_rmse_score
0,129,0.5797288303413642
1,128,0.5876026625612546
2,127,0.5910304782841644
4,125,0.5962322545010179
8,121,0.6045492983672461
16,113,0.623501140026695
32,97,0.6450602653630889
64,65,0.7263740731656381
