,all_eg,eg<=2,2<eg<=4,4<eg<=6,6<eg<=8,8<eg,eg<0.5,4<eg
num_total,1986.0,1071.0,747.0,121.0,39.0,8.0,233.0,168.0
num_minus,931.0,271.0,510.0,103.0,39.0,8.0,30.0,150.0
num_plus,1055.0,800.0,237.0,18.0,0.0,0.0,203.0,18.0
mae,0.4573443415449961,0.3837283133481311,0.4122792146127999,0.8316330624510835,1.5719273685235031,3.4259371834693066,0.46000831293094463,1.127025389266382
num_total_non_outlier,1982.0,1070.0,747.0,121.0,39.0,5.0,232.0,165.0
num_minus_non_outlier,928.0,271.0,510.0,103.0,39.0,5.0,30.0,147.0
num_plus_non_outlier,1054.0,799.0,237.0,18.0,0.0,0.0,202.0,18.0
mae_non_outlier,0.4482111928738845,0.3806241993107617,0.4122792146127999,0.8316330624510835,1.5719273685235031,2.236269953752912,0.4460207180154171,1.0491764708955291
