num_features_removed,selected_features,mean_rmse_score
0,129,0.7106334387046511
1,128,0.7096263215898366
2,127,0.7124619586692656
4,125,0.711218622668721
8,121,0.7125495955728655
16,113,0.709889825641961
32,97,0.7259030118678488
64,65,0.7264991938040039
