num_features_removed,remaining_features,mean_rmse_score
0,129,0.7144513361845835
1,128,0.715440840583782
2,127,0.7135180904525803
4,125,0.720717125678192
8,121,0.7248048244586337
16,113,0.7489448344595945
32,97,0.7802551263967754
64,65,0.8250936150918781
